"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"245","0","1","0","1","f","no","nonprof","24","1","handsfree","highspeed"
"246","0","1","0","1","f","yes","nonprof","5","1","handsfree","highspeed"
"247","0","1","0","1","m","yes","prof","19","1","handsfree","highspeed"
"248","0","1","0","1","m","yes","nonprof","8","1","handsfree","highspeed"
"249","0","1","0","1","f","yes","nonprof","3","1","handsfree","highspeed"
"250","0","1","0","1","m","yes","nonprof","7","1","handsfree","lowspeed"
"251","0","1","0","1","f","yes","nonprof","4","1","handsfree","lowspeed"
"252","0","1","0","1","m","yes","nonprof","2","1","handsfree","highspeed"
"253","0","1","0","1","f","yes","nonprof","25","2-3","handsfree","highspeed"
"254","0","1","0","1","m","yes","nonprof","34","2-3","handsfree","highspeed"
"255","0","1","1","0","f","yes","nonprof","24","2-3","handsfree","highspeed"
"256","0","1","0","1","m","yes","nonprof","11",">6","handsfree","highspeed"
"257","0","1","0","1","f","yes","nonprof","14",">6","handsfree","highspeed"
"258","0","1","0","1","m","yes","nonprof","20","2-3","handsfree","highspeed"
"259","0","1","0","1","m","yes","prof","14","4-5","handsfree","highspeed"
"260","1","0","0","1","m","yes","nonprof","12","1","handsfree","highspeed"
"261","0","1","0","1","m","yes","nonprof","11","4-5","handsfree","highspeed"
"262","0","1","0","1","m","yes","nonprof","9","1","handsfree","lowspeed"
"263","0","1","0","1","m","yes","nonprof","17","1","handsfree","highspeed"
"264","0","1","0","1","f","yes","nonprof","12","2-3","handsfree","lowspeed"
"265","0","1","0","1","m","yes","nonprof","25","4-5","handsfree","highspeed"
"266","0","1","0","1","f","yes","nonprof","15","4-5","handsfree","highspeed"
"267","0","1","0","1","m","yes","nonprof","15","4-5","handsfree","highspeed"
"268","0","1","0","1","m","yes","nonprof","23","2-3","handsfree","highspeed"
"269","0","1","0","1","f","yes","prof","16","2-3","handsfree","highspeed"
"270","0","1","0","1","m","yes","prof","27","4-5","handsfree","highspeed"
"271","0","1","0","1","m","yes","nonprof","14","4-5","handheld","lowspeed"
"272","1","0","0","1","m","yes","prof","15","4-5","handsfree","highspeed"
"273","1","0","0","1","m","yes","nonprof","14",">6","handheld","highspeed"
"274","0","1","0","1","f","yes","nonprof","15","1","handsfree","highspeed"
"275","0","1","0","1","m","yes","nonprof","15","4-5","handheld","highspeed"
"276","0","1","0","1","m","no","nonprof","36","1","handsfree","lowspeed"
"277","0","1","0","1","f","yes","prof","23",">6","handheld","highspeed"
"278","1","0","0","1","f","yes","nonprof","6","1","handsfree","highspeed"
"279","0","1","0","1","m","yes","prof","11","1","handsfree","lowspeed"
"280","0","1","0","1","m","no","nonprof","36","1","handsfree","highspeed"
"281","0","1","0","1","f","yes","nonprof","11","1","handsfree","highspeed"
"282","0","1","0","1","f","yes","nonprof","16","2-3","handsfree","highspeed"
"283","0","1","0","1","m","yes","nonprof","21","4-5","handsfree","highspeed"
"284","0","1","1","0","m","no","nonprof","9","4-5","handsfree","highspeed"
"285","0","1","0","1","m","yes","prof","20",">6","handsfree","highspeed"
"286","0","1","0","1","f","yes","prof","33","4-5","handsfree","highspeed"
"287","0","1","0","1","m","yes","nonprof","34","2-3","handheld","highspeed"
"288","1","0","0","1","m","no","nonprof","5","1","handsfree","highspeed"
"289","0","1","0","1","m","yes","nonprof","40",">6","handheld","highspeed"
"290","0","1","0","1","f","yes","nonprof","17","1","handsfree","lowspeed"
"291","1","0","0","1","m","yes","nonprof","12","1","handsfree","highspeed"
"292","0","1","0","1","m","yes","nonprof","10","2-3","handsfree","highspeed"
"293","1","0","0","1","f","yes","nonprof","1","4-5","handsfree","highspeed"
"294","0","1","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"295","1","0","0","1","m","yes","nonprof","12","2-3","handsfree","highspeed"
"296","1","0","0","1","m","yes","nonprof","25","2-3","handsfree","highspeed"
"297","0","1","0","1","m","yes","prof","23",">6","handheld","highspeed"
"298","0","1","0","1","m","yes","prof","50","4-5","handsfree","highspeed"
"299","0","1","0","1","m","yes","nonprof","34",">6","handheld","highspeed"
"300","0","1","0","1","m","yes","nonprof","17","2-3","handsfree","highspeed"
"301","0","1","0","1","f","yes","nonprof","27",">6","handsfree","highspeed"
"302","0","1","0","1","m","yes","prof","15","4-5","handsfree","highspeed"
"303","0","1","0","1","m","no","nonprof","19","2-3","handsfree","lowspeed"
"304","1","0","0","1","m","yes","nonprof","27",">6","handsfree","highspeed"
"305","1","0","0","1","m","yes","nonprof","20","1","handsfree","highspeed"
"306","1","0","0","1","m","yes","nonprof","32","4-5","handheld","highspeed"
"307","0","1","0","1","f","yes","nonprof","5","4-5","handheld","highspeed"
"308","0","1","0","1","m","yes","nonprof","30","4-5","handsfree","highspeed"
"309","0","1","0","1","f","yes","prof","2","1","handsfree","highspeed"
"310","0","1","0","1","m","no","nonprof","17",">6","handsfree","highspeed"
"311","0","1","0","1","f","yes","nonprof","2","2-3","handsfree","highspeed"
"312","0","1","0","1","m","yes","nonprof","16","2-3","handsfree","highspeed"
"313","0","1","0","1","m","yes","nonprof","12","4-5","handsfree","highspeed"
"314","0","1","0","1","f","yes","nonprof","22","4-5","handheld","highspeed"
"315","1","0","0","1","f","yes","nonprof","3","1","handheld","lowspeed"
"316","0","1","0","1","m","yes","nonprof","22","1","handsfree","highspeed"
"317","0","1","0","1","m","yes","prof","12","1","handsfree","highspeed"
"318","1","0","0","1","m","yes","prof","21","4-5","handheld","highspeed"
"319","0","1","0","1","f","no","nonprof","13","2-3","handheld","highspeed"
"320","0","1","0","1","m","yes","nonprof","25",">6","handheld","highspeed"
"321","0","1","0","1","m","yes","nonprof","19",">6","handsfree","highspeed"
"322","0","1","0","1","m","yes","nonprof","16","2-3","handsfree","highspeed"
"323","0","1","0","1","m","yes","prof","28",">6","handheld","highspeed"
"324","0","1","0","1","m","yes","nonprof","3","1","handheld","highspeed"
"325","0","1","0","1","f","yes","nonprof","7","2-3","handheld","lowspeed"
"326","0","1","0","1","m","yes","nonprof","6","1","handsfree","highspeed"
"327","0","1","0","1","m","yes","prof","5","1","handsfree","highspeed"
"328","0","1","0","1","m","yes","prof","35",">6","handsfree","highspeed"
"329","0","1","0","1","m","yes","prof","32",">6","handheld","highspeed"
"330","1","0","0","1","m","yes","nonprof","12","2-3","handsfree","highspeed"
"331","0","1","0","1","f","yes","prof","8","1","handsfree","highspeed"
"332","0","1","0","1","m","no","nonprof","37",">6","handheld","highspeed"
"333","0","1","0","1","f","yes","nonprof","15","4-5","handheld","highspeed"
"334","0","1","0","1","m","yes","nonprof","7","2-3","handsfree","highspeed"
"335","1","0","0","1","f","yes","nonprof","5","4-5","handsfree","highspeed"
"336","0","1","0","1","f","yes","nonprof","18","1","handsfree","highspeed"
"337","0","1","0","1","m","yes","nonprof","17","2-3","handheld","highspeed"
"338","1","0","0","1","m","yes","nonprof","14",">6","handsfree","highspeed"
"339","0","1","0","1","m","no","prof","28","1","handsfree","highspeed"
"340","0","1","0","1","m","no","nonprof","60","1","handheld","highspeed"
"341","1","0","0","1","m","yes","nonprof","16","4-5","handsfree","highspeed"
"342","0","1","0","1","m","yes","nonprof","17","4-5","handsfree","highspeed"
"343","1","0","0","1","m","yes","nonprof","5","1","handsfree","highspeed"
"344","0","1","0","1","m","yes","nonprof","32",">6","handsfree","highspeed"
"345","0","1","0","1","f","yes","nonprof","6","1","handsfree","lowspeed"
"346","0","1","0","1","m","yes","nonprof","4","1","handsfree","highspeed"
"347","1","0","0","1","f","yes","nonprof","45",">6","handheld","highspeed"
"348","1","0","0","1","m","yes","nonprof","8","1","handheld","highspeed"
"349","1","0","0","1","f","yes","prof","24","1","handsfree","highspeed"
"350","0","1","0","1","m","yes","nonprof","30",">6","handsfree","highspeed"
"351","0","1","0","1","m","yes","nonprof","8","2-3","handsfree","highspeed"
"352","0","1","1","0","m","yes","nonprof","24",">6","handsfree","highspeed"
"353","0","1","0","1","m","yes","nonprof","22",">6","handsfree","highspeed"
"354","0","1","0","1","f","yes","nonprof","9","1","handsfree","lowspeed"
